Customer_id,Name,City,Age,Gender
1,Aarav,JAIPUR,57,Male
2,Vivaan,CHENNAI,24,Male
3,Aditya,BANGALORE,49,Male
4,Arjun,JAIPUR,36,Male
5,Krishna,KOLKATA,23,Male
6,Rohan,AHMEDABAD,37,Female
7,Rahul,BANGALORE,44,Female
8,Karan,BANGALORE,60,Male
9,Vikram,JAIPUR,54,Female
10,Ankit,MUMBAI,24,Female
11,Priya,KOLKATA,22,Male
12,Ananya,JAIPUR,28,Male
13,Sneha,KOLKATA,32,Male
14,Pooja,KOLKATA,20,Female
15,Neha,AHMEDABAD,22,Male
16,Kavya,BANGALORE,40,Female
17,Riya,CHENNAI,54,Female
18,Aisha,AHMEDABAD,26,Female
19,Meera,AHMEDABAD,32,Female
20,Sakshi,KOLKATA,20,Male
21,Aarav,HYDERABAD,46,Female
22,Vivaan,BANGALORE,23,Male
23,Aditya,MUMBAI,34,Female
24,Arjun,AHMEDABAD,43,Male
25,Krishna,CHENNAI,38,Male
26,Rohan,HYDERABAD,25,Male
27,Rahul,HYDERABAD,38,Female
28,Karan,MUMBAI,28,Female
29,Vikram,AHMEDABAD,55,Female
30,Ankit,CHENNAI,25,Male
31,Priya,BANGALORE,59,Female
32,Ananya,DELHI,41,Female
33,Sneha,CHENNAI,52,Female
34,Pooja,MUMBAI,31,Male
35,Neha,HYDERABAD,31,Female
36,Kavya,BANGALORE,27,Female
37,Riya,CHENNAI,29,Male
38,Aisha,DELHI,55,Male
39,Meera,DELHI,61,Male
40,Sakshi,KOLKATA,63,Male
41,Aarav,KOLKATA,51,Male
42,Vivaan,JAIPUR,58,Male
43,Aditya,MUMBAI,27,Female
44,Arjun,AHMEDABAD,34,Female
45,Krishna,CHENNAI,34,Male
46,Rohan,CHENNAI,20,Female
47,Rahul,AHMEDABAD,48,Male
48,Karan,JAIPUR,40,Female
49,Vikram,HYDERABAD,29,Male
50,Ankit,HYDERABAD,56,Male
51,Priya,JAIPUR,21,Female
52,Ananya,HYDERABAD,59,Female
53,Sneha,KOLKATA,30,Female
54,Pooja,UNKNOWN,51,Female
55,Neha,JAIPUR,59,Female
56,Kavya,CHENNAI,38,Female
57,Riya,AHMEDABAD,39,Female
58,Aisha,DELHI,21,Female
59,Meera,KOLKATA,35,Male
60,Sakshi,BANGALORE,22,Female
61,Aarav,KOLKATA,36,Female
62,Vivaan,JAIPUR,40,Male
63,Aditya,BANGALORE,29,Male
64,Arjun,DELHI,34,Male
65,Krishna,JAIPUR,40,Male
